Pos,Raw,Dist
0,303,15.15
1,383,11.98
2,303,15.15
3,303,15.15
4,308,14.90
5,288,15.94
6,341,13.46
7,287,15.99
8,293,15.67
9,291,15.77
10,257,17.86
11,329,13.95
12,275,16.69
13,232,19.78
14,237,19.37
15,250,18.36
16,249,18.43
17,249,18.43
18,250,18.36
19,249,18.43
20,250,18.36
21,236,19.45
22,253,18.14
23,225,20.40
24,234,19.62
25,234,19.62
26,226,20.31
27,226,20.31
28,222,20.68
29,222,20.68
30,222,20.68
31,217,21.15
32,241,19.05
33,194,23.66
34,204,22.50
35,203,22.61
36,211,21.75
37,210,21.86
38,189,24.29
39,188,24.41
40,188,24.41
41,131,35.04
42,135,34.00
43,3,1530.00
44,3,1530.00
45,3,1530.00
46,2,2295.00
47,2,2295.00
48,3,1530.00
49,3,1530.00
50,3,1530.00
51,4,1147.50
52,9,510.00
53,41,111.95
54,45,102.00
55,40,114.75
56,291,15.77
57,291,15.77
58,510,9.00
59,509,9.02
60,510,9.00
61,476,9.64
62,458,10.02
63,461,9.96
64,459,10.00
65,460,9.98
66,463,9.91
67,463,9.91
68,467,9.83
69,465,9.87
70,466,9.85
71,469,9.79
72,469,9.79
73,474,9.68
74,473,9.70
75,563,8.15
76,528,8.69
77,476,9.64
78,474,9.68
79,473,9.70
80,515,8.91
81,466,9.85
82,468,9.81
83,464,9.89
84,462,9.94
85,463,9.91
86,464,9.89
87,462,9.94
88,463,9.91
89,465,9.87
90,483,9.50
91,460,9.98
92,459,10.00
93,467,9.83
94,457,10.04
95,456,10.07
96,453,10.13
97,452,10.15
98,452,10.15
99,469,9.79
100,448,10.25
101,442,10.38
102,441,10.41
103,444,10.34
104,509,9.02
105,437,10.50
106,438,10.48
107,430,10.67
108,430,10.67
109,422,10.88
110,422,10.88
111,412,11.14
112,413,11.11
113,411,11.17
114,401,11.45
115,402,11.42
116,390,11.77
117,397,11.56
118,410,11.20
119,392,11.71
120,390,11.77
121,363,12.64
122,360,12.75
123,363,12.64
124,415,11.06
125,352,13.04
126,341,13.46
127,341,13.46
128,340,13.50
129,359,12.79
130,359,12.79
131,281,16.33
132,280,16.39
133,280,16.39
134,371,12.37
135,322,14.25
136,352,13.04
137,353,13.00
138,354,12.97
139,381,12.05
140,375,12.24
141,363,12.64
142,360,12.75
143,360,12.75
144,440,10.43
145,371,12.37
146,379,12.11
147,378,12.14
148,378,12.14
149,448,10.25
150,385,11.92
151,390,11.77
152,389,11.80
153,389,11.80
154,471,9.75
155,396,11.59
156,397,11.56
157,398,11.53
158,397,11.56
159,486,9.44
160,421,10.90
161,404,11.36
162,402,11.42
163,402,11.42
164,485,9.46
165,407,11.28
166,413,11.11
167,411,11.17
168,411,11.17
169,487,9.43
170,411,11.17
171,412,11.14
172,411,11.17
173,411,11.17
174,477,9.62
175,404,11.36
176,401,11.45
177,403,11.39
178,405,11.33
179,507,9.05
