Pos,Raw,Dist
0.00,265,17.32
0.50,264,17.39
1.00,265,17.32
1.50,264,17.39
2.00,265,17.32
2.50,260,17.65
3.00,266,17.26
3.50,260,17.65
4.00,260,17.65
4.50,260,17.65
5.00,256,17.93
5.50,261,17.59
6.00,277,16.57
6.50,285,16.11
7.00,355,12.93
7.50,375,12.24
8.00,416,11.03
8.50,424,10.83
9.00,448,10.25
9.50,456,10.07
10.00,464,9.89
10.50,459,10.00
11.00,466,9.85
11.50,473,9.70
12.00,475,9.66
12.50,477,9.62
13.00,480,9.56
13.50,486,9.44
14.00,480,9.56
14.50,480,9.56
15.00,485,9.46
15.50,494,9.29
16.00,501,9.16
16.50,501,9.16
17.00,510,9.00
17.50,512,8.96
18.00,513,8.95
18.50,514,8.93
19.00,515,8.91
19.50,519,8.84
20.00,522,8.79
20.50,522,8.79
21.00,526,8.73
21.50,527,8.71
22.00,548,8.38
22.50,533,8.61
23.00,536,8.56
23.50,539,8.52
24.00,540,8.50
24.50,545,8.42
25.00,544,8.44
25.50,553,8.30
26.00,547,8.39
26.50,550,8.35
27.00,551,8.33
27.50,547,8.39
28.00,550,8.35
28.50,551,8.33
29.00,561,8.18
29.50,553,8.30
30.00,554,8.29
30.50,559,8.21
31.00,564,8.14
31.50,558,8.23
32.00,559,8.21
32.50,563,8.15
33.00,562,8.17
33.50,561,8.18
34.00,562,8.17
34.50,559,8.21
35.00,565,8.12
35.50,564,8.14
36.00,573,8.01
36.50,567,8.10
37.00,564,8.14
37.50,579,7.93
38.00,568,8.08
38.50,576,7.97
39.00,568,8.08
39.50,573,8.01
40.00,574,8.00
40.50,577,7.95
41.00,581,7.90
41.50,574,8.00
42.00,574,8.00
42.50,571,8.04
43.00,569,8.07
43.50,567,8.10
44.00,571,8.04
44.50,585,7.85
45.00,570,8.05
45.50,568,8.08
46.00,566,8.11
46.50,556,8.26
47.00,560,8.20
47.50,555,8.27
48.00,542,8.47
48.50,533,8.61
49.00,520,8.83
49.50,505,9.09
50.00,487,9.43
50.50,477,9.62
51.00,459,10.00
51.50,454,10.11
52.00,448,10.25
52.50,448,10.25
53.00,440,10.43
53.50,436,10.53
54.00,420,10.93
54.50,421,10.90
55.00,362,12.68
55.50,333,13.78
56.00,290,15.83
56.50,300,15.30
57.00,270,17.00
57.50,254,18.07
58.00,225,20.40
58.50,219,20.96
59.00,221,20.77
59.50,221,20.77
60.00,227,20.22
60.50,222,20.68
61.00,222,20.68
61.50,227,20.22
62.00,227,20.22
62.50,226,20.31
63.00,228,20.13
63.50,226,20.31
64.00,226,20.31
64.50,225,20.40
65.00,229,20.04
65.50,224,20.49
66.00,229,20.04
66.50,229,20.04
67.00,227,20.22
67.50,233,19.70
68.00,229,20.04
68.50,230,19.96
69.00,233,19.70
69.50,236,19.45
70.00,234,19.62
70.50,232,19.78
71.00,233,19.70
71.50,234,19.62
72.00,233,19.70
72.50,233,19.70
73.00,232,19.78
73.50,237,19.37
74.00,231,19.87
74.50,233,19.70
75.00,233,19.70
75.50,240,19.12
76.00,234,19.62
76.50,233,19.70
77.00,234,19.62
77.50,237,19.37
78.00,234,19.62
78.50,235,19.53
79.00,234,19.62
79.50,234,19.62
80.00,237,19.37
80.50,233,19.70
81.00,232,19.78
81.50,240,19.12
82.00,253,18.14
82.50,261,17.59
83.00,261,17.59
83.50,266,17.26
84.00,273,16.81
84.50,271,16.94
85.00,268,17.13
