Pos,Raw,Dist
0.00,311,14.76
0.50,495,9.27
1.00,268,17.13
1.50,258,17.79
2.00,260,17.65
2.50,258,17.79
3.00,259,17.72
3.50,258,17.79
4.00,258,17.79
4.50,259,17.72
5.00,255,18.00
5.50,255,18.00
6.00,252,18.21
6.50,257,17.86
7.00,260,17.65
7.50,289,15.88
8.00,337,13.62
8.50,338,13.58
9.00,433,10.60
9.50,431,10.65
10.00,434,10.58
10.50,442,10.38
11.00,453,10.13
11.50,460,9.98
12.00,464,9.89
12.50,466,9.85
13.00,466,9.85
13.50,472,9.72
14.00,471,9.75
14.50,472,9.72
15.00,482,9.52
15.50,482,9.52
16.00,493,9.31
16.50,489,9.39
17.00,501,9.16
17.50,503,9.13
18.00,507,9.05
18.50,510,9.00
19.00,507,9.05
19.50,515,8.91
20.00,516,8.90
20.50,516,8.90
21.00,525,8.74
21.50,524,8.76
22.00,531,8.64
22.50,527,8.71
23.00,535,8.58
23.50,535,8.58
24.00,537,8.55
24.50,537,8.55
25.00,540,8.50
25.50,540,8.50
26.00,541,8.48
26.50,545,8.42
27.00,545,8.42
27.50,550,8.35
28.00,550,8.35
28.50,550,8.35
29.00,553,8.30
29.50,552,8.32
30.00,555,8.27
30.50,552,8.32
31.00,558,8.23
31.50,556,8.26
32.00,557,8.24
32.50,559,8.21
33.00,561,8.18
33.50,567,8.10
34.00,563,8.15
34.50,565,8.12
35.00,562,8.17
35.50,564,8.14
36.00,566,8.11
36.50,566,8.11
37.00,569,8.07
37.50,566,8.11
38.00,570,8.05
38.50,571,8.04
39.00,574,8.00
39.50,574,8.00
40.00,569,8.07
40.50,573,8.01
41.00,568,8.08
41.50,571,8.04
42.00,569,8.07
42.50,574,8.00
43.00,573,8.01
43.50,573,8.01
44.00,569,8.07
44.50,565,8.12
45.00,559,8.21
45.50,557,8.24
46.00,547,8.39
46.50,547,8.39
47.00,539,8.52
47.50,538,8.53
48.00,519,8.84
48.50,518,8.86
49.00,500,9.18
49.50,495,9.27
50.00,487,9.43
50.50,490,9.37
51.00,477,9.62
51.50,476,9.64
52.00,458,10.02
52.50,454,10.11
53.00,447,10.27
53.50,446,10.29
54.00,423,10.85
54.50,419,10.95
55.00,352,13.04
55.50,349,13.15
56.00,319,14.39
56.50,319,14.39
57.00,271,16.94
57.50,262,17.52
58.00,228,20.13
58.50,222,20.68
59.00,222,20.68
59.50,223,20.58
60.00,224,20.49
60.50,222,20.68
61.00,223,20.58
61.50,224,20.49
62.00,224,20.49
62.50,222,20.68
63.00,227,20.22
63.50,226,20.31
64.00,226,20.31
64.50,226,20.31
65.00,227,20.22
65.50,226,20.31
66.00,230,19.96
66.50,231,19.87
67.00,229,20.04
67.50,231,19.87
68.00,232,19.78
68.50,231,19.87
69.00,230,19.96
69.50,233,19.70
70.00,234,19.62
70.50,234,19.62
71.00,237,19.37
71.50,235,19.53
72.00,232,19.78
72.50,234,19.62
73.00,233,19.70
73.50,234,19.62
74.00,235,19.53
74.50,235,19.53
75.00,233,19.70
75.50,235,19.53
76.00,236,19.45
76.50,234,19.62
77.00,235,19.53
77.50,235,19.53
78.00,238,19.29
78.50,236,19.45
79.00,240,19.12
79.50,237,19.37
80.00,241,19.05
80.50,246,18.66
81.00,263,17.45
81.50,264,17.39
82.00,287,15.99
82.50,290,15.83
83.00,315,14.57
83.50,311,14.76
84.00,316,14.53
84.50,319,14.39
85.00,321,14.30
85.50,321,14.30
86.00,348,13.19
86.50,322,14.25
87.00,323,14.21
87.50,326,14.08
88.00,311,14.76
88.50,316,14.53
89.00,301,15.25
89.50,299,15.35
90.00,287,15.99
90.50,285,16.11
91.00,284,16.16
91.50,284,16.16
92.00,285,16.11
92.50,298,15.40
93.00,285,16.11
93.50,289,15.88
94.00,288,15.94
94.50,290,15.83
95.00,280,16.39
95.50,281,16.33
96.00,267,17.19
96.50,265,17.32
97.00,269,17.06
97.50,272,16.87
98.00,273,16.81
98.50,272,16.87
99.00,270,17.00
99.50,271,16.94
100.00,266,17.26
100.50,265,17.32
101.00,255,18.00
101.50,253,18.14
102.00,244,18.81
102.50,241,19.05
103.00,231,19.87
103.50,231,19.87
104.00,218,21.06
104.50,219,20.96
105.00,220,20.86
105.50,220,20.86
106.00,223,20.58
106.50,221,20.77
107.00,217,21.15
107.50,218,21.06
108.00,209,21.96
108.50,211,21.75
109.00,211,21.75
109.50,211,21.75
110.00,212,21.65
110.50,212,21.65
111.00,214,21.45
111.50,217,21.15
112.00,215,21.35
112.50,216,21.25
113.00,219,20.96
113.50,219,20.96
114.00,222,20.68
114.50,220,20.86
115.00,219,20.96
115.50,218,21.06
116.00,217,21.15
116.50,219,20.96
117.00,220,20.86
117.50,235,19.53
118.00,217,21.15
118.50,219,20.96
119.00,219,20.96
119.50,221,20.77
120.00,226,20.31
120.50,218,21.06
121.00,218,21.06
121.50,219,20.96
122.00,225,20.40
122.50,218,21.06
123.00,221,20.77
123.50,222,20.68
124.00,224,20.49
124.50,228,20.13
125.00,222,20.68
125.50,220,20.86
126.00,206,22.28
126.50,201,22.84
127.00,202,22.72
127.50,202,22.72
128.00,216,21.25
128.50,222,20.68
129.00,230,19.96
129.50,229,20.04
130.00,236,19.45
130.50,238,19.29
131.00,248,18.51
131.50,242,18.97
132.00,250,18.36
132.50,249,18.43
133.00,250,18.36
133.50,251,18.29
134.00,248,18.51
134.50,247,18.58
135.00,244,18.81
135.50,246,18.66
136.00,255,18.00
136.50,259,17.72
137.00,273,16.81
137.50,268,17.13
