Tilt,Pan,Raw,Dist
25.00,0.00,219,20.96
25.00,2.00,341,13.46
25.00,4.00,322,14.25
25.00,6.00,299,15.35
25.00,8.00,291,15.77
25.00,10.00,294,15.61
25.00,12.00,292,15.72
25.00,14.00,287,15.99
25.00,16.00,284,16.16
25.00,18.00,280,16.39
25.00,20.00,284,16.16
25.00,22.00,343,13.38
25.00,24.00,371,12.37
25.00,26.00,355,12.93
25.00,28.00,343,13.38
25.00,30.00,328,13.99
25.00,32.00,315,14.57
25.00,34.00,289,15.88
25.00,36.00,245,18.73
25.00,38.00,326,14.08
25.00,40.00,331,13.87
25.00,42.00,367,12.51
25.00,44.00,355,12.93
25.00,46.00,359,12.79
25.00,48.00,368,12.47
25.00,50.00,374,12.27
25.00,52.00,380,12.08
25.00,54.00,379,12.11
25.00,56.00,304,15.10
25.00,58.00,198,23.18
25.00,60.00,190,24.16
25.00,62.00,192,23.91
25.00,64.00,193,23.78
25.00,66.00,195,23.54
25.00,68.00,198,23.18
25.00,70.00,198,23.18
25.00,72.00,204,22.50
25.00,74.00,207,22.17
25.00,76.00,196,23.42
25.00,78.00,217,21.15
25.00,80.00,231,19.87
25.00,82.00,212,21.65
25.00,84.00,214,21.45
25.00,86.00,211,21.75
25.00,88.00,232,19.78
25.00,90.00,204,22.50
25.00,92.00,206,22.28
25.00,94.00,208,22.07
25.00,96.00,200,22.95
25.00,98.00,214,21.45
25.00,100.00,218,21.06
25.00,102.00,213,21.55
25.00,104.00,209,21.96
25.00,106.00,225,20.40
25.00,108.00,214,21.45
25.00,110.00,194,23.66
25.00,112.00,197,23.30
25.00,114.00,193,23.78
25.00,116.00,190,24.16
25.00,118.00,201,22.84
25.00,120.00,208,22.07
25.00,122.00,207,22.17
25.00,124.00,203,22.61
25.00,126.00,203,22.61
25.00,128.00,199,23.07
25.00,130.00,195,23.54
25.00,132.00,189,24.29
25.00,134.00,213,21.55
25.00,136.00,223,20.58
25.00,138.00,232,19.78
25.00,140.00,282,16.28
25.00,142.00,268,17.13
25.00,144.00,213,21.55
25.00,146.00,235,19.53
25.00,148.00,245,18.73
25.00,150.00,251,18.29
25.00,152.00,264,17.39
25.00,154.00,256,17.93
25.00,156.00,258,17.79
25.00,158.00,262,17.52
25.00,160.00,266,17.26
25.00,162.00,280,16.39
25.00,164.00,272,16.87
25.00,166.00,268,17.13
25.00,168.00,272,16.87
25.00,170.00,276,16.63
25.00,172.00,274,16.75
25.00,174.00,273,16.81
25.00,176.00,272,16.87
25.00,178.00,275,16.69
23.00,0.00,288,15.94
23.00,2.00,203,22.61
23.00,4.00,213,21.55
23.00,6.00,450,10.20
23.00,8.00,306,15.00
23.00,10.00,295,15.56
23.00,12.00,290,15.83
23.00,14.00,288,15.94
23.00,16.00,284,16.16
23.00,18.00,280,16.39
23.00,20.00,305,15.05
23.00,22.00,416,11.03
23.00,24.00,442,10.38
23.00,26.00,448,10.25
23.00,28.00,439,10.46
23.00,30.00,428,10.72
23.00,32.00,415,11.06
23.00,34.00,398,11.53
23.00,36.00,417,11.01
23.00,38.00,424,10.83
23.00,40.00,452,10.15
23.00,42.00,420,10.93
23.00,44.00,395,11.62
23.00,46.00,409,11.22
23.00,48.00,385,11.92
23.00,50.00,385,11.92
23.00,52.00,386,11.89
23.00,54.00,402,11.42
23.00,56.00,271,16.94
23.00,58.00,200,22.95
23.00,60.00,197,23.30
23.00,62.00,200,22.95
23.00,64.00,200,22.95
23.00,66.00,199,23.07
23.00,68.00,203,22.61
23.00,70.00,202,22.72
23.00,72.00,205,22.39
23.00,74.00,208,22.07
23.00,76.00,211,21.75
23.00,78.00,214,21.45
23.00,80.00,210,21.86
23.00,82.00,211,21.75
23.00,84.00,211,21.75
23.00,86.00,211,21.75
23.00,88.00,212,21.65
23.00,90.00,214,21.45
23.00,92.00,221,20.77
23.00,94.00,208,22.07
23.00,96.00,203,22.61
23.00,98.00,216,21.25
23.00,100.00,224,20.49
23.00,102.00,237,19.37
23.00,104.00,211,21.75
23.00,106.00,214,21.45
23.00,108.00,212,21.65
23.00,110.00,197,23.30
23.00,112.00,199,23.07
23.00,114.00,196,23.42
23.00,116.00,189,24.29
23.00,118.00,204,22.50
23.00,120.00,215,21.35
23.00,122.00,207,22.17
23.00,124.00,207,22.17
23.00,126.00,199,23.07
23.00,128.00,201,22.84
23.00,130.00,204,22.50
23.00,132.00,185,24.81
23.00,134.00,203,22.61
23.00,136.00,216,21.25
23.00,138.00,234,19.62
23.00,140.00,232,19.78
23.00,142.00,236,19.45
23.00,144.00,226,20.31
23.00,146.00,238,19.29
23.00,148.00,253,18.14
23.00,150.00,249,18.43
23.00,152.00,252,18.21
23.00,154.00,256,17.93
23.00,156.00,271,16.94
23.00,158.00,261,17.59
23.00,160.00,269,17.06
23.00,162.00,274,16.75
23.00,164.00,279,16.45
23.00,166.00,290,15.83
23.00,168.00,268,17.13
23.00,170.00,270,17.00
23.00,172.00,273,16.81
23.00,174.00,273,16.81
23.00,176.00,272,16.87
23.00,178.00,274,16.75
21.00,0.00,275,16.69
21.00,2.00,212,21.65
21.00,4.00,218,21.06
21.00,6.00,520,8.83
21.00,8.00,294,15.61
21.00,10.00,294,15.61
21.00,12.00,289,15.88
21.00,14.00,288,15.94
21.00,16.00,283,16.22
21.00,18.00,283,16.22
21.00,20.00,357,12.86
21.00,22.00,466,9.85
21.00,24.00,486,9.44
21.00,26.00,502,9.14
21.00,28.00,500,9.18
21.00,30.00,502,9.14
21.00,32.00,502,9.14
21.00,34.00,505,9.09
21.00,36.00,534,8.60
21.00,38.00,540,8.50
21.00,40.00,545,8.42
21.00,42.00,533,8.61
21.00,44.00,521,8.81
21.00,46.00,513,8.95
21.00,48.00,506,9.07
21.00,50.00,494,9.29
21.00,52.00,481,9.54
21.00,54.00,471,9.75
21.00,56.00,482,9.52
21.00,58.00,406,11.31
21.00,60.00,356,12.89
21.00,62.00,299,15.35
21.00,64.00,245,18.73
21.00,66.00,219,20.96
21.00,68.00,210,21.86
21.00,70.00,208,22.07
21.00,72.00,205,22.39
21.00,74.00,212,21.65
21.00,76.00,213,21.55
21.00,78.00,212,21.65
21.00,80.00,213,21.55
21.00,82.00,216,21.25
21.00,84.00,215,21.35
21.00,86.00,218,21.06
21.00,88.00,224,20.49
21.00,90.00,210,21.86
21.00,92.00,211,21.75
21.00,94.00,227,20.22
21.00,96.00,212,21.65
21.00,98.00,212,21.65
21.00,100.00,228,20.13
21.00,102.00,231,19.87
21.00,104.00,215,21.35
21.00,106.00,229,20.04
21.00,108.00,219,20.96
21.00,110.00,201,22.84
21.00,112.00,202,22.72
21.00,114.00,213,21.55
21.00,116.00,192,23.91
21.00,118.00,207,22.17
21.00,120.00,209,21.96
21.00,122.00,208,22.07
21.00,124.00,207,22.17
21.00,126.00,199,23.07
21.00,128.00,201,22.84
21.00,130.00,204,22.50
21.00,132.00,187,24.55
21.00,134.00,208,22.07
21.00,136.00,216,21.25
21.00,138.00,225,20.40
21.00,140.00,222,20.68
21.00,142.00,242,18.97
21.00,144.00,233,19.70
21.00,146.00,241,19.05
21.00,148.00,244,18.81
21.00,150.00,250,18.36
21.00,152.00,263,17.45
21.00,154.00,255,18.00
21.00,156.00,258,17.79
21.00,158.00,272,16.87
21.00,160.00,295,15.56
21.00,162.00,282,16.28
21.00,164.00,281,16.33
21.00,166.00,270,17.00
21.00,168.00,271,16.94
21.00,170.00,279,16.45
21.00,172.00,271,16.94
21.00,174.00,274,16.75
21.00,176.00,275,16.69
21.00,178.00,297,15.45
19.00,0.00,286,16.05
19.00,2.00,210,21.86
19.00,4.00,315,14.57
19.00,6.00,552,8.32
19.00,8.00,306,15.00
19.00,10.00,291,15.77
19.00,12.00,287,15.99
19.00,14.00,285,16.11
19.00,16.00,282,16.28
19.00,18.00,295,15.56
19.00,20.00,446,10.29
19.00,22.00,482,9.52
19.00,24.00,504,9.11
19.00,26.00,512,8.96
19.00,28.00,521,8.81
19.00,30.00,522,8.79
19.00,32.00,532,8.63
19.00,34.00,536,8.56
19.00,36.00,542,8.47
19.00,38.00,545,8.42
19.00,40.00,556,8.26
19.00,42.00,559,8.21
19.00,44.00,582,7.89
19.00,46.00,559,8.21
19.00,48.00,556,8.26
19.00,50.00,556,8.26
19.00,52.00,555,8.27
19.00,54.00,558,8.23
19.00,56.00,567,8.10
19.00,58.00,564,8.14
19.00,60.00,560,8.20
19.00,62.00,558,8.23
19.00,64.00,539,8.52
19.00,66.00,505,9.09
19.00,68.00,446,10.29
19.00,70.00,364,12.61
19.00,72.00,249,18.43
19.00,74.00,213,21.55
19.00,76.00,210,21.86
19.00,78.00,214,21.45
19.00,80.00,216,21.25
19.00,82.00,217,21.15
19.00,84.00,217,21.15
19.00,86.00,216,21.25
19.00,88.00,217,21.15
19.00,90.00,216,21.25
19.00,92.00,217,21.15
19.00,94.00,214,21.45
19.00,96.00,212,21.65
19.00,98.00,213,21.55
19.00,100.00,237,19.37
19.00,102.00,236,19.45
19.00,104.00,230,19.96
19.00,106.00,225,20.40
19.00,108.00,224,20.49
19.00,110.00,211,21.75
19.00,112.00,200,22.95
19.00,114.00,206,22.28
19.00,116.00,194,23.66
19.00,118.00,199,23.07
19.00,120.00,220,20.86
19.00,122.00,209,21.96
19.00,124.00,207,22.17
19.00,126.00,205,22.39
19.00,128.00,196,23.42
19.00,130.00,203,22.61
19.00,132.00,187,24.55
19.00,134.00,193,23.78
19.00,136.00,215,21.35
19.00,138.00,222,20.68
19.00,140.00,223,20.58
19.00,142.00,234,19.62
19.00,144.00,233,19.70
19.00,146.00,254,18.07
19.00,148.00,245,18.73
19.00,150.00,250,18.36
19.00,152.00,252,18.21
19.00,154.00,259,17.72
19.00,156.00,282,16.28
19.00,158.00,297,15.45
19.00,160.00,307,14.95
19.00,162.00,302,15.20
19.00,164.00,296,15.51
19.00,166.00,276,16.63
19.00,168.00,271,16.94
19.00,170.00,272,16.87
19.00,172.00,269,17.06
19.00,174.00,282,16.28
19.00,176.00,274,16.75
19.00,178.00,268,17.13
17.00,0.00,288,15.94
17.00,2.00,213,21.55
17.00,4.00,296,15.51
17.00,6.00,556,8.26
17.00,8.00,294,15.61
17.00,10.00,290,15.83
17.00,12.00,287,15.99
17.00,14.00,286,16.05
17.00,16.00,285,16.11
17.00,18.00,285,16.11
17.00,20.00,461,9.96
17.00,22.00,493,9.31
17.00,24.00,508,9.04
17.00,26.00,519,8.84
17.00,28.00,524,8.76
17.00,30.00,524,8.76
17.00,32.00,534,8.60
17.00,34.00,540,8.50
17.00,36.00,548,8.38
17.00,38.00,554,8.29
17.00,40.00,559,8.21
17.00,42.00,559,8.21
17.00,44.00,562,8.17
17.00,46.00,565,8.12
17.00,48.00,571,8.04
17.00,50.00,570,8.05
17.00,52.00,576,7.97
17.00,54.00,573,8.01
17.00,56.00,573,8.01
17.00,58.00,572,8.02
17.00,60.00,582,7.89
17.00,62.00,579,7.93
17.00,64.00,579,7.93
17.00,66.00,576,7.97
17.00,68.00,562,8.17
17.00,70.00,547,8.39
17.00,72.00,477,9.62
17.00,74.00,214,21.45
17.00,76.00,196,23.42
17.00,78.00,212,21.65
17.00,80.00,218,21.06
17.00,82.00,218,21.06
17.00,84.00,219,20.96
17.00,86.00,218,21.06
17.00,88.00,227,20.22
17.00,90.00,219,20.96
17.00,92.00,220,20.86
17.00,94.00,215,21.35
17.00,96.00,214,21.45
17.00,98.00,213,21.55
17.00,100.00,239,19.21
17.00,102.00,243,18.89
17.00,104.00,237,19.37
17.00,106.00,240,19.12
17.00,108.00,226,20.31
17.00,110.00,214,21.45
17.00,112.00,206,22.28
17.00,114.00,217,21.15
17.00,116.00,197,23.30
17.00,118.00,195,23.54
17.00,120.00,206,22.28
17.00,122.00,212,21.65
17.00,124.00,206,22.28
17.00,126.00,211,21.75
17.00,128.00,196,23.42
17.00,130.00,205,22.39
17.00,132.00,190,24.16
17.00,134.00,192,23.91
17.00,136.00,211,21.75
17.00,138.00,219,20.96
17.00,140.00,228,20.13
17.00,142.00,238,19.29
17.00,144.00,232,19.78
17.00,146.00,243,18.89
17.00,148.00,244,18.81
17.00,150.00,247,18.58
17.00,152.00,268,17.13
17.00,154.00,275,16.69
17.00,156.00,305,15.05
