Tilt,Pan,Raw,Dist
15.00,70.00,190,24.16
15.00,70.60,25,183.60
15.00,71.20,12,382.50
15.00,71.80,6,765.00
15.00,72.40,2,2295.00
15.00,73.00,3,1530.00
15.00,73.60,2,2295.00
15.00,74.20,4,1147.50
15.00,74.80,2,2295.00
15.00,75.40,3,1530.00
15.00,76.00,2,2295.00
15.00,76.60,2,2295.00
15.00,77.20,5,918.00
15.00,77.80,4,1147.50
15.00,78.40,157,29.24
15.00,79.00,207,22.17
15.00,79.60,273,16.81
15.00,80.20,324,14.17
15.00,80.80,348,13.19
15.00,81.40,443,10.36
15.00,82.00,468,9.81
15.00,82.60,503,9.13
15.00,83.20,508,9.04
15.00,83.80,505,9.09
15.00,84.40,510,9.00
15.00,85.00,516,8.90
15.00,85.60,520,8.83
15.00,86.20,513,8.95
15.00,86.80,514,8.93
15.00,87.40,497,9.24
15.00,88.00,491,9.35
15.00,88.60,487,9.43
15.00,89.20,479,9.58
15.00,89.80,474,9.68
15.00,90.40,469,9.79
15.00,91.00,469,9.79
15.00,91.60,468,9.81
15.00,92.20,463,9.91
15.00,92.80,464,9.89
15.00,93.40,458,10.02
15.00,94.00,453,10.13
15.00,94.60,432,10.63
15.00,95.20,401,11.45
15.00,95.80,360,12.75
15.00,96.40,284,16.16
15.00,97.00,257,17.86
15.00,97.60,172,26.69
15.00,98.20,266,17.26
15.00,98.80,355,12.93
15.00,99.40,326,14.08
15.00,100.00,298,15.40
15.00,100.60,288,15.94
15.00,101.20,272,16.87
15.00,101.80,271,16.94
15.00,102.40,270,17.00
15.00,103.00,268,17.13
15.00,103.60,267,17.19
15.00,104.20,269,17.06
15.00,104.80,269,17.06
15.00,105.40,268,17.13
15.00,106.00,273,16.81
15.00,106.60,269,17.06
15.00,107.20,265,17.32
15.00,107.80,266,17.26
15.00,108.40,268,17.13
15.00,109.00,270,17.00
15.00,109.60,265,17.32
14.40,70.00,367,12.51
14.40,70.60,127,36.14
14.40,71.20,138,33.26
14.40,71.80,135,34.00
14.40,72.40,119,38.57
14.40,73.00,113,40.62
14.40,73.60,134,34.25
14.40,74.20,160,28.69
14.40,74.80,154,29.81
14.40,75.40,153,30.00
14.40,76.00,164,27.99
14.40,76.60,176,26.08
14.40,77.20,229,20.04
14.40,77.80,226,20.31
14.40,78.40,343,13.38
14.40,79.00,392,11.71
14.40,79.60,387,11.86
14.40,80.20,422,10.88
14.40,80.80,438,10.48
14.40,81.40,489,9.39
14.40,82.00,500,9.18
14.40,82.60,504,9.11
14.40,83.20,510,9.00
14.40,83.80,514,8.93
14.40,84.40,526,8.73
14.40,85.00,529,8.68
14.40,85.60,529,8.68
14.40,86.20,519,8.84
14.40,86.80,517,8.88
14.40,87.40,495,9.27
14.40,88.00,495,9.27
14.40,88.60,485,9.46
14.40,89.20,471,9.75
14.40,89.80,467,9.83
14.40,90.40,470,9.77
14.40,91.00,470,9.77
14.40,91.60,478,9.60
14.40,92.20,468,9.81
14.40,92.80,472,9.72
14.40,93.40,469,9.79
14.40,94.00,470,9.77
14.40,94.60,456,10.07
14.40,95.20,414,11.09
14.40,95.80,414,11.09
14.40,96.40,394,11.65
14.40,97.00,396,11.59
14.40,97.60,446,10.29
14.40,98.20,370,12.41
14.40,98.80,329,13.95
14.40,99.40,304,15.10
14.40,100.00,284,16.16
14.40,100.60,279,16.45
14.40,101.20,279,16.45
14.40,101.80,279,16.45
14.40,102.40,275,16.69
14.40,103.00,276,16.63
14.40,103.60,271,16.94
14.40,104.20,272,16.87
14.40,104.80,272,16.87
14.40,105.40,272,16.87
14.40,106.00,273,16.81
14.40,106.60,272,16.87
14.40,107.20,269,17.06
14.40,107.80,268,17.13
14.40,108.40,269,17.06
14.40,109.00,268,17.13
14.40,109.60,268,17.13
13.80,70.00,422,10.88
13.80,70.60,228,20.13
13.80,71.20,253,18.14
13.80,71.80,257,17.86
13.80,72.40,283,16.22
13.80,73.00,285,16.11
13.80,73.60,291,15.77
13.80,74.20,282,16.28
13.80,74.80,281,16.33
13.80,75.40,276,16.63
13.80,76.00,272,16.87
13.80,76.60,264,17.39
13.80,77.20,264,17.39
13.80,77.80,265,17.32
13.80,78.40,343,13.38
13.80,79.00,355,12.93
13.80,79.60,373,12.31
13.80,80.20,431,10.65
13.80,80.80,445,10.31
13.80,81.40,462,9.94
